muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,EJ,EJ_pop,Ej Crit De,recoded_ej_criteria,CITY
Boston,0,101,101,1,173,19.62025317,Yes,EJ Population,Minority,Minority,Boston
Boston,0,101,101,2,148,22.83464567,Yes,EJ Population,Minority,Minority,Boston
Boston,0,102,102,1,140,22.4137931,Yes,EJ Population,Minority,Minority,Boston
Boston,0,102,102,2,248,19.2,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,1,215,46,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,2,159,17.21854305,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,3,210,29.54545455,Yes,EJ Population,Minority,Minority,Boston
Boston,0,201,201,4,128,10.09174312,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,1,152,28.78787879,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,2,178,36.41618497,Yes,EJ Population,Minority,Minority,Boston
Boston,0,202,202,3,313,36.09022556,Yes,EJ Population,Minority,Minority,Boston
Boston,0,301,301,1,155,59.55882353,Yes,EJ Population,Minority,Minority,Boston
Boston,0,301,301,1,155,59.55882353,Yes,EJ Population,Minority,Minority,Watertown
,,301,301,2,147,36.23188406,No,Not an EJ Population,,N/A,Boston
,,301,301,3,116,14.28571429,No,Not an EJ Population,,N/A,Boston
Boston,0,301,301,4,93,27.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,302,302,1,320,36.14864865,Yes,EJ Population,Minority,Minority,Boston
Boston,0,302,302,2,210,63.81909548,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,1,46,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,2,118,9.174311927,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,3,180,20.98765432,Yes,EJ Population,Minority,Minority,Boston
Boston,0,401,401,3,180,20.98765432,Yes,EJ Population,Minority,Minority,Brookline
Boston,0,401,401,4,145,27.73109244,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,402,402,1,190,30.72289157,Yes,EJ Population,Minority,Minority,Boston
Boston,0,402,402,2,164,20,Yes,EJ Population,Minority,Minority,Boston
Boston,0,402,402,3,195,39.35483871,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,1,44,5.555555556,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,2,23,29.41176471,Yes,EJ Population,Minority,Minority,Boston
Boston,0,502,502,3,52,5.555555556,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,503,503,1,27,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,503,503,2,38,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,505,505,1,31,5.263157895,Yes,EJ Population,Minority,Minority,Boston
Boston,0,505,505,2,29,8.695652174,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,505,505,3,33,8.333333333,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,1,64,15.78947368,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,2,100,11.94029851,Yes,EJ Population,Minority,Minority,Boston
Boston,0,506,506,2,100,11.94029851,Yes,EJ Population,Minority,Minority,Brookline
,,600,600,1,1,100,No,Not an EJ Population,,N/A,Maynard
Boston,0,601,601,1,110,56.81818182,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,1,110,56.81818182,Yes,EJ Population,Minority,Minority,Watertown
Boston,0,601,601,2,181,34.35114504,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,3,153,23.48993289,Yes,EJ Population,Minority,Minority,Boston
Boston,0,601,601,4,93,22.66666667,Yes,EJ Population,Minority,Minority,Boston
Boston,0,603,603,1,34,11.11111111,Yes,EJ Population,"Minority, income and English isolation","Minority, income and English isolation",Boston
Boston,0,604,604,1,136,37.16814159,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,604,604,2,64,9.803921569,Yes,EJ Population,Minority and English isolation,Minority and English isolation,Boston
Boston,0,701,701,1,25,9.523809524,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,2,63,12.76595745,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,3,61,18,Yes,EJ Population,Minority,Minority,Boston
Boston,0,701,701,4,65,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,703,703,1,39,0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,703,703,1,39,0,Yes,EJ Population,Minority and income,Minority and income,Brookline
Boston,0,703,703,2,104,14.28571429,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,704,704,1,112,4.761904762,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,2,50,12.5,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,2,50,12.5,Yes,EJ Population,Minority,Minority,Brookline
Boston,0,704,704,3,27,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,704,704,4,32,0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,804,804,1,251,31.875,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,804,804,2,327,30.37037037,Yes,EJ Population,Minority,Minority,Boston
Boston,0,805,805,1,164,25.16556291,Yes,EJ Population,Minority,Minority,Boston
Boston,0,805,805,2,93,12.24489796,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,805,805,2,93,12.24489796,Yes,EJ Population,Minority and income,Minority and income,Brookline
Boston,0,805,805,3,45,4.761904762,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,806,806,1,14,63.63636364,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10104,10104,1,79,6.896551724,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10104,10104,2,24,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10104,10104,3,54,0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10204,10204,1,42,0,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10204,10204,2,73,26.08695652,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10204,10204,3,46,16.66666667,Yes,EJ Population,Minority and income,Minority and income,Boston
Boston,0,10205,10205,1,29,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10205,10205,2,24,0,Yes,EJ Population,Minority,Minority,Boston
Boston,0,10205,10205,3,8,0,Yes,EJ Population,Minority and income,Minority and income,Boston
