muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,Row %(Apartments with Four or more units),N(Apartments with Four or more units),Row %(Chapter 61 or 61A or 61B Property),N(Chapter 61 or 61A or 61B Property),Row %(Commercial),N(Commercial),Row %(Commercial Vacant),N(Commercial Vacant),Row %(Condominium),N(Condominium),Row %(Federal State or Municipal),N(Federal State or Municipal),Row %(Group Quarters),N(Group Quarters),Row %(Industrial),N(Industrial),Row %(Industrial Vacant),N(Industrial Vacant),Row %(Institutional or Exempt),N(Institutional or Exempt),Row %(Institutional or Exempt Vacant),N(Institutional or Exempt Vacant),Row %(Mixed Use),N(Mixed Use),Row %(Municipal Vacant),N(Municipal Vacant),Row %(Open Space),N(Open Space),Row %(Other Agricultural or Recreational),N(Other Agricultural or Recreational),Row %(Residential Other),N(Residential Other),Row %(Residential Vacant),N(Residential Vacant),Row %(Single Family Residence),N(Single Family Residence),Row %(Tax Exempt Other),N(Tax Exempt Other),Row %(Two or Three Family Residences),N(Two or Three Family Residences),Row %(Unknown),N(Unknown),EJ,Ej Crit De,recoded_ej_criteria,Ej Criteri,Geographic,Geographic 1,Block Group of EJ_POLY,Geoid,Census Tract,Limitedeng,Medianhhi,Minority P,Municipali,Split For,Bg Mhhi,Bg Mhhi Is,Bg Mhhi Pc,Ej Crite 1,Geometry,Limenghh,Limenghhpc,Muni Mhhi,Munimhhi P,Nonhispwhi,Pct Minori,Shape Area,Shape Len,Total Pop,Totalhh
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority and income,Minority and income,MI,"Block Group 1, Census Tract 402, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,40200,,I,M,Boston,N,16250,0,19.25697708,2,Polygon,31,12.25296402,76298,90.41654205,119,81.28930818,55208.8416,952.7783011,636,253
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Minority, income and English isolation","Minority, income and English isolation",MIE,"Block Group 2, Census Tract 607, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,60700,E,I,M,Boston,N,14167,0,16.78852844,3,Polygon,380,57.40181351,76298,90.41654205,111,83.95953757,39213.98308,1068.58088,692,662
Hamilton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 4, Census Tract 2151.01, Essex County, Massachusetts",Block Group 4,4,2.50E+11,215101,,,M,Hamilton,N,129063,1,150.3477325,1,Polygon,55,21.9123497,115203,136.5207062,248,49.18032787,831758.2435,3668.133596,488,251
Cambridge,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 3, Census Tract 3549.01, Middlesex County, Massachusetts",Block Group 3,3,2.50E+11,354901,,,M,Cambridge,N,137874,0,163.3868561,1,Polygon,111,16.22806931,107490,127.380455,661,55.24712255,257991.9982,2823.339862,1477,684
Bedford,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 6, Census Tract 3593.03, Middlesex County, Massachusetts",Block Group 6,6,2.50E+11,359303,,,M,Bedford,N,216346,1,252.0252075,1,Polygon,0,0,133824,158.5874329,39,62.13592233,3099701.743,9644.8819,103,0
Concord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 3, Census Tract 3612, Middlesex County, Massachusetts",Block Group 3,3,2.50E+11,361200,,,M,Concord,N,159661,0,189.2054291,1,Polygon,0,0,160392,190.0717011,180,70.96774194,206584.9474,1819.583153,620,0
Wellesley,84.00422669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 4, Census Tract 4044, Norfolk County, Massachusetts",Block Group 4,4,2.50E+11,404400,,,M,Wellesley,N,147083,0,174.299942,1,Polygon,0,0,213684,253.2250977,911,53.68581596,846558.7377,4827.230052,1967,0
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 1, Census Tract 9803, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,980300,,,M,Boston,N,0,0,0,1,Polygon,0,0,76298,90.41654205,42,62.83185841,2108697.827,6370.567586,113,0
Boston,0,101,101,1,173,19.62025317,5.20%,9,0.00%,0,0.58%,1,0.58%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,4.62%,8,0.00%,0,1.16%,2,0.00%,0,0.00%,0,0.00%,0,1.73%,3,0.58%,1,17.92%,31,0.58%,1,66.47%,115,0.58%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 1.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,101,,,M,Boston,N,109028,0,129.203064,1,Polygon,42,11.50684929,76298,90.41654205,643,38.878327,140293.2945,1519.769321,1052,365
Boston,0,101,101,2,148,22.83464567,2.70%,4,0.00%,0,2.03%,3,0.00%,0,0.00%,0,2.03%,3,0.68%,1,0.68%,1,0.00%,0,6.76%,10,0.00%,0,2.03%,3,0.00%,0,0.00%,0,0.00%,0,0.68%,1,0.00%,0,19.59%,29,0.00%,0,62.84%,93,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 1.01, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,101,,,M,Boston,N,128750,0,152.5745087,1,Polygon,0,0,76298,90.41654205,568,31.06796117,109615.6989,1691.667294,824,262
